Ecm Ecm_err ksq ksq_err qcotdelta qcotdelta_err
0.195132 0.000627564 0.000114006 6.12288e-05 -0.377475 0.181929
0.272194 0.000581067 0.00911728 7.90815e-05 -0.284436 0.0299211
0.33191 0.000774686 0.018136 0.000128563 -0.310051 0.0286316
0.374151 0.00109179 0.0255921 0.000204247 -0.50808 0.162725
0.413409 0.000906069 0.0333216 0.000187288 -6.15029 32.4454
0.213662 0.000687888 0.00200779 7.3488e-05 -0.31395 0.0829431
0.288335 0.000629425 0.0113791 9.07425e-05 -0.24254 0.0207096
0.194361 0.000908756 3.89018e-05 8.83133e-05 -0.757895 1.65123
0.24482 0.000892914 0.00557906 0.000109301 -0.249346 0.114853
0.270201 0.00121651 0.00884708 0.00016435 -0.24358 0.0792342
0.22372 0.00129397 0.00310754 0.000144744 4.77008 52.16
0.235887 0.000654694 0.00450555 7.7217e-05 -0.264291 0.0473622
0.292419 0.000760829 0.0119721 0.000111241 -0.566908 0.598655
0.302216 0.00109638 0.0134285 0.000165671 -0.222718 0.0380315
0.234845 0.000920025 0.00438287 0.000108032 -0.66196 0.836982
0.256873 0.00072391 0.00709085 9.29767e-05 -0.235925 0.0182123
0.195889 0.000437447 0.000188024 4.28456e-05 -0.150574 0.0274569
0.25078 0.000422192 0.00631747 5.29386e-05 -0.243532 0.0252428
0.296687 0.000468175 0.0126007 6.94509e-05 -0.256709 0.018352
0.207933 0.000321607 0.00140388 3.34362e-05 -0.346921 0.0824526
0.261952 0.000315628 0.00774962 4.13397e-05 -0.263942 0.017917
0.294365 0.000416777 0.0122576 6.13423e-05 -0.38798 0.56384
0.303663 0.000314405 0.0136476 4.77366e-05 -0.26342 0.0174144
0.194537 0.000418308 5.6013e-05 4.06881e-05 -0.343483 0.227914
0.232104 0.000516443 0.004063 5.99345e-05 -1.90024 5.44081
0.248566 0.00045505 0.00604113 5.65549e-05 -0.298548 0.0638119
0.290989 0.000477472 0.0117635 6.94695e-05 -0.488881 0.134665
0.217404 0.000356855 0.00241097 3.87908e-05 -0.386487 0.193229
0.223579 0.000311391 0.00309175 3.48102e-05 -0.267146 0.0368604
0.266947 0.0003342 0.00841008 4.46069e-05 -0.25312 0.226602
0.272784 0.000348989 0.00919771 4.75994e-05 -0.238269 0.0195337
0.307679 0.000433088 0.0142614 6.6626e-05 -0.715417 0.335502
0.225395 0.000385887 0.00329564 4.34886e-05 -0.505125 0.383339
0.238182 0.000342149 0.00477756 4.07469e-05 -0.257369 0.0163117
